date,appid,name,discount_percent,rating_percent,price,steam_store_url
2025-12-07,365360,Battle Brothers,70.0,86.26,8.99,https://store.steampowered.com/app/365360/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,606160,ROUTINE,10.0,85.74,22.49,https://store.steampowered.com/app/606160/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,466560,Northgard: Definitive Edition,60.0,84.71,13.99,https://store.steampowered.com/app/466560/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,307780,Mortal Kombat X,80.0,84.5,3.99,https://store.steampowered.com/app/307780/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,239250,Castlevania: Lords of Shadow 2,80.0,82.19,7.99,https://store.steampowered.com/app/239250/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,699130,World War Z,67.0,81.64,9.89,https://store.steampowered.com/app/699130/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,325610,Total War: ATTILA,75.0,80.75,11.24,https://store.steampowered.com/app/325610/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,668580,Atomic Heart,70.0,79.74,17.99,https://store.steampowered.com/app/668580/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1432860,Sun Haven,70.0,79.71,7.49,https://store.steampowered.com/app/1432860/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2221490,Tom Clancy’s The Division® 2,75.0,76.44,7.49,https://store.steampowered.com/app/2221490/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1133870,Space Engineers 2,20.0,76.17,23.99,https://store.steampowered.com/app/1133870/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,885970,Total War: ROME REMASTERED,75.0,74.95,7.49,https://store.steampowered.com/app/885970/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2000890,MechWarrior 5: Clans,40.0,72.98,17.99,https://store.steampowered.com/app/2000890/?curator_clanid=4777282&utm_source=SteamDB
